paroquia_id,nome,orago,arciprestado,diocese,url_ficha,site,facebook,instagram,site_confidence,facebook_confidence,instagram_confidence
1883,A-dos-Cunhados,Nossa Senhora da Luz,Torres Vedras,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1883,http://paroquias-adoscunhados-vimeiro.pt,https://www.facebook.com/paroquias.adcv/,,1.0,0.8,
1777,A-dos-Francos,São Silvestre,Caldas da Rainha-Peniche,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1777,,,,,,
1778,A-dos-Negros,Santa Maria Madalena,Caldas da Rainha-Peniche,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1778,,,,,,
16505,Abade de Neiva,Santa Maria,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16505,https://arquidiocese-braga.pt/local/abade-de-neiva-santa-maria,,,0.9,,
16692,Abade de Vermoim,Santa Maria,Vila Nova de Famalicão,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16692,https://arquidiocese-braga.pt/local/abade-de-vermoim-santa-maria,,,0.9,,
16581,Abadim,São Jorge,Cabeceiras de Basto,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16581,https://arquidiocese-braga.pt/local/abadim-sao-jorge,,,0.9,,
74,Abambres,São Tomé,Mirandela,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=74,,,,,,
1176,Abaças,São Pedro,Centro I,Vila Real,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1176,,,,,,
16624,Abação,São Cristóvão,Guimarães e Vizela,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16624,https://arquidiocese-braga.pt/local/abacao-sao-cristovao,,,0.9,,
16656,Abação,São Tomé,Guimarães e Vizela,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16656,https://arquidiocese-braga.pt/local/abacao-sao-tome,,,0.9,,
862,Abedim,Santa Maria,Monção,Viana do Castelo,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=862,,,,,,
1908,Abela,Nossa Senhora da Abela,Santiago do Cacém,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1908,http://upsantiagodocacem.wix.com/stc-pt,,,1.0,,
3317,Abitureiras,Nossa Senhora da Conceição,Santarém,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3317,,,,,,
406,Abiul,Nossa Senhora das Neves,Pombal,Coimbra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=406,,,,,,
3113,Aboadela,Santa Maria,Amarante,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3113,,,,,,
17458,Aboboreira,São Silvestre,Abrantes,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17458,,,,,,
3098,Aboim,São Pedro,Amarante,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3098,,,,,,
16898,Aboim,Santa Maria,Fafe,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16898,https://arquidiocese-braga.pt/local/aboim-santa-maria,,,0.9,,
16731,Aboim da Nóbrega,Nossa Senhora da Assunção,Vila Verde,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16731,https://arquidiocese-braga.pt/local/aboim-da-nobrega-nossa-senhora-da-assuncao,,,0.9,,
1546,Aboim das Choças,Santo Estevão,Arcos de Valdevez,Viana do Castelo,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1546,,,,,,
16506,Aborim,São Martinho,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16506,https://arquidiocese-braga.pt/local/aborim-sao-martinho,,,0.9,,
3793,Abragão,São Pedro,Castelo de Paiva - Penafiel,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3793,,,,,,
17459,Abrantes,São João Baptista,Abrantes,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17459,,,,,,
17460,Abrantes,São Vicente,Abrantes,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17460,,,,,,
540,Abraveses,Nossa Senhora dos Prazeres,Viseu Urbano,Viseu,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=540,,,,,,
75,Abreiro,Santo Estevão,Mirandela,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=75,,,,,,
1721,Abrigada,Nossa Senhora da Graça,Alenquer,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1721,,,,,,
304,Abrunheira,Nossa Senhora da Graça,Baixo Mondego,Coimbra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=304,,,,,,
626,Abrunhosa-a-Velha,Santa Cecília,Beira Alta,Viseu,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=626,,,,,,
3270,Abrã,Santa Margarida,Alcanena,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3270,,,,,,
1797,Abóboda,Nossa Senhora da Conceição,Cascais,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1797,,,,,,
2475,Achada,Nossa Senhora da Anunciação,Nordeste (Ilha de São Miguel),Angra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2475,,,,,,
3946,Achada,Nossa Senhora da Graça,Este,Funchal,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3946,,,,,,
3983,Achadas da Cruz,Nossa Senhora do Livramento,Norte,Funchal,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3983,http://paroquiasdoportomoniz.blogspot.pt,,,1.0,,
2476,Achadinha,Nossa Senhora do Rosário,Nordeste (Ilha de São Miguel),Angra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2476,,,,,,
3318,Achete,Santa Maria,Santarém,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3318,,,,,,
16769,Adaúfe,Santa Maria,Braga,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16769,https://arquidiocese-braga.pt/local/adaufe-santa-maria,,,0.9,,
3465,Ade,São João Evangelista,Guarda - Manteigas,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3465,,,,,,
181,Adeganha,São Tiago Maior,Moncorvo,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=181,,,,,,
3535,Adorigo,Nossa Senhora Conduzende,Moimenta da Beira - Sernancelhe - Tabuaço,Lamego,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3535,,,,,,
1177,Adoufe,Santa Maria,Centro I,Vila Real,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1177,,,,,,
17017,Adães,São Pedro,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17017,https://arquidiocese-braga.pt/local/adaes-sao-pedro,,,0.9,,
3464,Adão,São Bartolomeu,Guarda - Manteigas,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3464,,,,,,
1007,Afife,Santa Cristina e São Silvestre,Viana do Castelo,Viana do Castelo,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1007,,,,,,
1223,Afonsim,Nossa Senhora da Assunção,Centro II,Vila Real,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1223,,,,,,
1395,Afurada,São Pedro,Vila Nova de Gaia - Norte,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1395,,,,,,
2563,Agadão,Santa Maria Madalena,Águeda,Aveiro,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2563,,,,,,
16600,Agilde,Santa Eufémia,Celorico de Basto,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16600,https://arquidiocese-braga.pt/local/agilde-santa-eufemia,,,0.9,,
16707,Agra,São Lourenço,Vieira do Minho,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16707,https://arquidiocese-braga.pt/local/agra-sao-lourenco,,,0.9,,
1381,Agrela,São Pedro,Santo Tirso,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1381,,,,,,
17011,Agrela,Santa Cristina,Fafe,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17011,https://arquidiocese-braga.pt/local/agrela-santa-cristina,,,0.9,,
131,Agrobom,São Miguel,Moncorvo,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=131,,,,,,
109,Agrochão,São Mamede,Mirandela,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=109,,,,,,
2564,Aguada de Baixo,São Martinho,Águeda,Aveiro,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2564,,,,,,
2565,Aguada de Cima,Santa Eulália,Águeda,Aveiro,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2565,,,,,,
894,Agualonga,São Paio,Paredes de Coura,Viana do Castelo,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=894,,,,,,
1743,Agualva,Nossa Senhora da Consolação,Sintra,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1743,http://www.paroquiaagualva.pt,,,1.0,,
17621,Agualva,Nossa Senhora da Guadalupe,Praia da Vitória (Ilha Terceira),Angra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17621,,,,,,
370,Aguda,Nossa Senhora da Graça,Chão de Couce,Coimbra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=370,,,,,,
2085,Aguiar,Nossa Senhora da Assunção,Reguengos de Monsaraz,Évora,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2085,,,,,,
16862,Aguiar,Santa Lucrécia,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16862,https://arquidiocese-braga.pt/local/aguiar-santa-lucrecia,,,0.9,,
576,Aguiar da Beira,Santo Eusébio,Dão,Viseu,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=576,,,,,,
3783,Aguiar de Sousa,São Romão,Paredes,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3783,,,,,,
110,Aguieiras,Santa Catarina,Mirandela,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=110,,,,,,
2590,Aguim,Nossa Senhora do Ó,Anadia,Aveiro,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2590,http://www.paroquiadeaguim.com,,,1.0,,
1547,Aguiá,São Tomé,Arcos de Valdevez,Viana do Castelo,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1547,,,,,,
16691,Aguçadoura,Nossa Senhora da Boa Viagem,Vila do Conde/Póvoa de Varzim,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16691,https://arquidiocese-braga.pt/local/agucadoura-nossa-senhora-da-boa-viagem,,,0.9,,
3734,Airães,Nossa Senhora,Felgueiras,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3734,,,,,,
16644,Airão,São João,Guimarães e Vizela,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16644,https://arquidiocese-braga.pt/local/airao-sao-joao,,,0.9,,
16766,Airão,Santa Maria,Guimarães e Vizela,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16766,https://arquidiocese-braga.pt/local/airao-santa-maria,,,0.9,,
16508,Airó,São Jorge,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16508,https://arquidiocese-braga.pt/local/airo-sao-jorge,,,0.9,,
3733,Aião,São João Baptista,Lousada,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3733,,,,,,
1666,Ajuda,Nossa Senhora da Ajuda,Lisboa III,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1666,http://www.paroquiaajudalisboa.com,,,1.0,,
2465,Ajuda da Bretanha,Nossa Senhora da Ajuda,Capelas (Ilha de São Miguel),Angra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2465,,,,,,
16632,Ajude,São Pedro,Póvoa de Lanhoso,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16632,https://arquidiocese-braga.pt/local/ajude-sao-pedro,,,0.9,,
111,Ala,Santa Eugénia,Mirandela,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=111,,,,,,
17331,Alagoa,São Miguel,Portalegre,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17331,,,,,,
2223,Alandroal,Nossa Senhora da Conceição,Vila Viçosa,Évora,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2223,,,,,,
4598,Albardo,Espírito Santo,Guarda - Manteigas,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4598,,,,,,
3220,Albergaria da Serra,Nossa Senhora da Assunção,Arouca - Vale de Cambra,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3220,,,,,,
17593,Albergaria dos Doze,Nossa Senhora da Apresentação,Colmeias,Leiria-Fátima,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17593,,,,,,
2709,Albergaria dos Fusos,Nossa Senhora do Outeiro,Cuba,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2709,,,,,,
2582,Albergaria-a-Velha,Santa Cruz,Albergaria-a-Velha,Aveiro,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2582,http://www.paroquiadealbergaria.pt,,,1.0,,
2695,Albernôa,Nossa Senhora da Luz,Beja,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2695,,,,,,
1,Albufeira,Nossa Senhora da Conceição,Região Pastoral do Centro,Algarve,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1,https://turismo.diocese-algarve.pt/vigararias/item/193-paroquia-de-albufeira,https://www.facebook.com/Albufeira.Paroquia/,,1.0,1.0,
17528,Alburitel,Nossa Senhora do Rosário,Ourém,Leiria-Fátima,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17528,,,,,,
1798,Alcabideche,São Vicente,Cascais,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1798,http://www.paroquiadealcabideche.pt,,,1.0,,
627,Alcafache,São Vicente,Beira Alta,Viseu,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=627,,,,,,
17378,Alcafozes,São Sebastião,Castelo Branco,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17378,,,,,,
4089,Alcaide,São Pedro,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4089,,,,,,
17379,Alcains,Nossa Senhora da Conceição,Castelo Branco,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17379,,,,,,
1834,Alcainça,São Miguel,Mafra,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1834,,,,,,
3306,Alcanede,Nossa Senhora da Purificação,Rio Maior,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3306,,,,,,
3271,Alcanena,São Pedro,Alcanena,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3271,,,,,,
3319,Alcanhões,Santa Marta,Santarém,Santarém,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3319,,,,,,
2,Alcantarilha,Nossa Senhora da Conceição,Região Pastoral do Centro,Algarve,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2,https://turismo.diocese-algarve.pt/vigararias/15-igrejas/264-matriz-alcantarilha,,,1.0,,
17461,Alcaravela,Santa Clara,Abrantes,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17461,,,,,,
4090,Alcaria,São João Baptista,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4090,,,,,,
17527,Alcaria,Nossa Senhora dos Prazeres,Vale do Lena,Leiria-Fátima,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17527,,,,,,
2710,Alcaria da Serra (Vicariato Paroquial),Nossa Senhora das Relíquias,Cuba,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2710,,,,,,
2664,Alcaria Ruiva,Nossa Senhora da Conceição,Almodôvar,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2664,,,,,,
1706,Alcobaça,Santíssimo Sacramento,Alcobaça-Nazaré,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1706,http://paroquiadealcobaca.com,,,1.0,,
